Genre,Film,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
"['Drama', 'Comedy']",Water For Elephants,20th Century Fox,72,3.081421053,60,$117.09 ,2011
"['Comedy', 'Romance']",You Will Meet a Tall Dark Stranger,Independent,35,1.211818182,43,$26.66 ,2010
"['Drama', 'Romance']",Waitress,Independent,67,11.0897415,89,$22.18 ,2007
"['Comedy', 'Romance']",What Happens in Vegas,Fox,72,6.267647029,28,$219.37 ,2008
"['Comedy', 'Romance']",Youth in Revolt,The Weinstein Company,52,1.09,68,$19.62 ,2010
"['Animation', 'Romance']",WALL-E,Disney,89,2.896019067,96,$521.28 ,2008
"['Comedy', 'Romance']",When in Rome,Disney,44,0,15,$43.04 ,2010
"['Drama', 'Romance']",Waiting For Forever,Independent,53,0.005,6,$0.03 ,2011
"['Comedy', 'Romance']",Valentine's Day,Warner Bros.,54,4.184038462,17,$217.57 ,2010
"['Drama', 'Romance']",Tyler Perry's Why Did I get Married,Independent,47,3.7241924,46,$55.86 ,2007
"['Drama', 'Romance']",Twilight: Breaking Dawn,Independent,68,6.383363636,26,$702.17 ,2011
"['Drama', 'Romance']",Twilight,Summit,82,10.18002703,49,$376.66 ,2008
"['Comedy', 'Romance']",The Ugly Truth,Independent,68,5.402631579,14,$205.30 ,2009
"['Drama', 'Comedy']",The Twilight Saga: New Moon,Summit,78,14.1964,27,$709.82 ,2009
"['Drama', 'Comedy']",The Time Traveler's Wife,Paramount,65,2.598205128,38,$101.33 ,2009
"['Comedy', 'Romance']",The Proposal,Disney,74,7.8675,43,$314.70 ,2009
"['Comedy', 'Romance']",The Invention of Lying,Warner Bros.,47,1.751351351,56,$32.40 ,2009
"['Comedy', 'Romance']",The Heartbreak Kid,Paramount,41,2.129444167,30,$127.77 ,2007
"['Drama', 'Comedy']",The Duchess,Paramount,68,3.207850222,60,$43.31 ,2008
"['Fantasy', 'Romance']",The Curious Case of Benjamin Button,Warner Bros.,81,1.78394375,73,$285.43 ,2008
"['Comedy', 'Romance']",The Back-up Plan,CBS,47,2.202571429,20,$77.09 ,2010
"['Animation', 'Romance']",Tangled,Disney,88,1.365692308,89,$355.01 ,2010
"['Drama', 'Romance']",Something Borrowed,Independent,48,1.719514286,15,$60.18 ,2011
"['Comedy', 'Romance']",She's Out of My League,Paramount,60,2.4405,57,$48.81 ,2010
"['Comedy', 'Romance']",Sex and the City Two,Warner Bros.,49,2.8835,15,$288.35 ,2010
"['Comedy', 'Romance']",Sex and the City 2,Warner Bros.,49,2.8835,15,$288.35 ,2010
"['Comedy', 'Romance']",Sex and the City,Warner Bros.,81,7.221795791,49,$415.25 ,2008
"['Drama', 'Comedy']",Remember Me,Summit,70,3.49125,28,$55.86 ,2010
"['Drama', 'Comedy']",Rachel Getting Married,Independent,61,1.384166667,85,$16.61 ,2008
"['Comedy', 'Romance']",Penelope,Summit,74,1.382799733,52,$20.74 ,2008
"['Drama', 'Romance']",P.S. I Love You,Independent,82,5.103116833,21,$153.09 ,2007
"['Comedy', 'Romance']",Over Her Dead Body,New Line,47,2.071,15,$20.71 ,2008
"['Comedy', 'Romance']",Our Family Wedding,Independent,49,0,14,$21.37 ,2010
"['Drama', 'Romance']",One Day,Independent,54,3.682733333,37,$55.24 ,2011
"['Drama', 'Comedy']",Not Easily Broken,Independent,66,2.14,34,$10.70 ,2009
"['Comedy', 'Romance']",No Reservations,Warner Bros.,64,3.307180357,39,$92.60 ,2007
"['Comedy', 'Romance']",Nick and Norah's Infinite Playlist,Sony,67,3.3527293,73,$33.53 ,2008
"['Drama', 'Romance']",New Year's Eve,Warner Bros.,48,2.536428571,8,$142.04 ,2011
"['Drama', 'Comedy']",My Week with Marilyn,The Weinstein Company,84,0.8258,83,$8.26 ,2011
"['Drama', 'Romance']",Music and Lyrics,Warner Bros.,70,3.64741055,63,$145.90 ,2007
"['Drama', 'Romance']",Monte Carlo,20th Century Fox,50,1.9832,38,$39.66 ,2011
"['Comedy', 'Romance']",Miss Pettigrew Lives for a Day,Independent,70,0.2528949,78,$15.17 ,2008
"['Action', 'Romance']",Midnight in Paris,Sony,84,8.744705882,93,$148.66 ,2011
"['Comedy', 'Romance']",Marley and Me,Fox,77,3.746781818,63,$206.07 ,2008
"['Comedy', 'Romance']",Mamma Mia!,Universal,76,9.234453864,53,$609.47 ,2008
"['Comedy', 'Romance']",Mamma Mia!,Universal,76,9.234453864,53,$609.47 ,2008
"['Comedy', 'Romance']",Made of Honor,Sony,61,2.64906835,13,$105.96 ,2008
"['Drama', 'Comedy']",Love Happens,Universal,40,2.004444444,18,$36.08 ,2009
"['Comedy', 'Romance']",Love & Other Drugs,Fox,55,1.817666667,48,$54.53 ,2010
"['Comedy', 'Romance']",Life as We Know It,Independent,62,2.530526316,28,$96.16 ,2010
"['Comedy', 'Romance']",License to Wed,Warner Bros.,55,1.9802064,8,$69.31 ,2007
"['Comedy', 'Romance']",Letters to Juliet,Summit,62,2.639333333,40,$79.18 ,2010
"['Comedy', 'Romance']",Leap Year,Universal,49,1.715263158,21,$32.59 ,2010
"['Comedy', 'Romance']",Knocked Up,Universal,83,6.636401848,91,$219 ,2007
"['Action', 'Romance']",Killers,Lionsgate,45,1.245333333,11,$93.40 ,2010
"['Comedy', 'Romance']",Just Wright,Fox,58,1.797416667,45,$21.57 ,2010
"['Drama', 'Romance']",Jane Eyre,Universal,77,0,85,$30.15 ,2011
"['Comedy', 'Romance']",It's Complicated,Universal,63,2.642352941,56,$224.60 ,2009
"['Comedy', 'Romance']",I Love You Phillip Morris,Independent,57,1.34,71,$20.10 ,2010
"['Comedy', 'Romance']",High School Musical 3: Senior Year,Disney,76,22.91313646,65,$252.04 ,2008
"['Comedy', 'Romance']",He's Just Not That Into You,Warner Bros.,60,7.1536,42,$178.84 ,2009
"['Comedy', 'Romance']",Good Luck Chuck,Lionsgate,61,2.36768512,3,$59.19 ,2007
"['Comedy', 'Romance']",Going the Distance,Warner Bros.,56,1.3140625,53,$42.05 ,2010
"['Animation', 'Romance']",Gnomeo and Juliet,Disney,52,5.387972222,56,$193.97 ,2011
"['Animation', 'Romance']",Gnomeo and Juliet,Disney,52,5.387972222,56,$193.97 ,2011
"['Comedy', 'Romance']",Ghosts of Girlfriends Past,Warner Bros.,47,2.0444,27,$102.22 ,2009
"['Comedy', 'Romance']",Four Christmases,Warner Bros.,52,2.022925,26,$161.83 ,2008
"['Drama', 'Comedy']",Fireproof,Independent,51,66.934,40,$33.47 ,2008
"['Comedy', 'Romance']",Enchanted,Disney,80,4.005737082,93,$340.49 ,2007
"['Drama', 'Comedy']",Dear John,Sony,66,4.5988,29,$114.97 ,2010
"['Comedy', 'Romance']",Beginners,Independent,80,4.471875,84,$14.31 ,2011
"['Drama', 'Romance']",Across the Universe,Independent,84,0.652603178,54,$29.37 ,2007
"['Drama', 'Comedy']",A Serious Man,Universal,64,4.382857143,89,$30.68 ,2009
"['Drama', 'Comedy']",A Dangerous Method,Independent,89,0.44864475,79,$8.97 ,2011
"['Comedy', 'Romance']",27 Dresses,Fox,71,5.3436218,40,$160.31 ,2008
"['Comedy', 'Romance']",(500) Days of Summer,Fox,81,8.096,87,$60.72 ,2009
